artifact_id;image_name;image_path;article_id
0-10_p068_ba9aadb6;0-10_p068_ba9aadb6_img1_ede56b9b06_77163e3e829d.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p068_ba9aadb6_img1_ede56b9b06_77163e3e829d.jpg;69
0-10_p069_fbb166c8;0-10_p069_fbb166c8_img1_8b47fb8af8_c8c29e20cf6b.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p069_fbb166c8_img1_8b47fb8af8_c8c29e20cf6b.jpg;70
0-10_p070_89bc8721;0-10_p070_89bc8721_img1_6c36e0c0cb_bf9082b7a292.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p070_89bc8721_img1_6c36e0c0cb_bf9082b7a292.jpg;71
0-10_p071_9aa6662e;0-10_p071_9aa6662e_img1_de272de87b_a64873b4eb0a.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p071_9aa6662e_img1_de272de87b_a64873b4eb0a.jpg;72
0-10_p072_6288a421;0-10_p072_6288a421_img1_e3c8ff751c_f15339f3e23b.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p072_6288a421_img1_e3c8ff751c_f15339f3e23b.jpg;73
0-10_p073_d8fc1a04;0-10_p073_d8fc1a04_img1_604e95d333_a2b5946cb357.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p073_d8fc1a04_img1_604e95d333_a2b5946cb357.jpg;74
0-10_p074_c161f5cf;0-10_p074_c161f5cf_img1_c5282b4431_4eda5b7d07d1.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p074_c161f5cf_img1_c5282b4431_4eda5b7d07d1.jpg;75
0-10_p076_234f216d;0-10_p076_234f216d_img1_29a44db50b_edba5ca9e9a4.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p076_234f216d_img1_29a44db50b_edba5ca9e9a4.jpg;76
0-10_p080_6756332a;0-10_p080_6756332a_img1_6d56c49a4e_69ecf63de8d9.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p080_6756332a_img1_6d56c49a4e_69ecf63de8d9.jpg;79
0-10_p081_235de0d7;0-10_p081_235de0d7_img1_022acee5fc_0430685f2992.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p081_235de0d7_img1_022acee5fc_0430685f2992.jpg;80
0-10_p083_ac6e1897;0-10_p083_ac6e1897_img1_bc65668f4a_9eba84a314fa.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p083_ac6e1897_img1_bc65668f4a_9eba84a314fa.jpg;82
0-10_p095_f45e4544;0-10_p095_f45e4544_img1_e73b0a94ba_48dd10afcba6.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-10_p095_f45e4544_img1_e73b0a94ba_48dd10afcba6.jpg;83
0-14_p022_e7ef2ce4;0-14_p022_e7ef2ce4_img1_d91d3a97d8_ab5ea31e8223.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p022_e7ef2ce4_img1_d91d3a97d8_ab5ea31e8223.jpg;222
0-14_p026_2c507d36;0-14_p026_2c507d36_img1_65c410c09d_1f48cb3bc1c3.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p026_2c507d36_img1_65c410c09d_1f48cb3bc1c3.jpg;223
0-14_p027_ec708607;0-14_p027_ec708607_img1_f41d559c6f_c97e70a7bce5.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p027_ec708607_img1_f41d559c6f_c97e70a7bce5.jpg;224
0-14_p028_4041cb1f;0-14_p028_4041cb1f_img1_b42c549043_24d6a26dd41e.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p028_4041cb1f_img1_b42c549043_24d6a26dd41e.jpg;225
0-14_p036_90bc3926;0-14_p036_90bc3926_img1_90139b81e0_46cc5b7cd416.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p036_90bc3926_img1_90139b81e0_46cc5b7cd416.jpg;230
0-14_p037_d8eb0074;0-14_p037_d8eb0074_img1_7b831c6bf0_5816ce0d6984.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p037_d8eb0074_img1_7b831c6bf0_5816ce0d6984.jpg;231
0-14_p040_58885c6e;0-14_p040_58885c6e_img1_49391888cf_5dfe519997ae.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p040_58885c6e_img1_49391888cf_5dfe519997ae.jpg;234
0-14_p041_6240297d;0-14_p041_6240297d_img1_4b9fa9730c_98ecdcb52608.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p041_6240297d_img1_4b9fa9730c_98ecdcb52608.jpg;235
0-14_p042_78ff3cb5;0-14_p042_78ff3cb5_img1_988499094a_2a3e4350ba0b.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p042_78ff3cb5_img1_988499094a_2a3e4350ba0b.jpg;236
0-14_p043_1add3b82;0-14_p043_1add3b82_img1_77d97bea1a_a4a17093c9a7.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p043_1add3b82_img1_77d97bea1a_a4a17093c9a7.jpg;237
0-14_p044_dfa1c7a5;0-14_p044_dfa1c7a5_img1_2b3850da54_c11059606ef2.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-14_p044_dfa1c7a5_img1_2b3850da54_c11059606ef2.jpg;238
0-16_p003_a478c1a3;0-16_p003_a478c1a3_img2_bef800e969_9fe1b1a91098.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p003_a478c1a3_img2_bef800e969_9fe1b1a91098.jpg;84
0-16_p003_a478c1a3;0-16_p003_a478c1a3_img3_4160dc065e_3a3a6da56dbf.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p003_a478c1a3_img3_4160dc065e_3a3a6da56dbf.jpg;84
0-16_p008_0033d68a;0-16_p008_0033d68a_img1_e57d93ae3b_70db505ca4ac.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p008_0033d68a_img1_e57d93ae3b_70db505ca4ac.jpg;85
0-16_p008_0033d68a;0-16_p008_0033d68a_img2_05d3af60fd_5975f889bbc7.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p008_0033d68a_img2_05d3af60fd_5975f889bbc7.jpg;85
0-16_p008_0033d68a;0-16_p008_0033d68a_img3_542e7efebf_883abb502cef.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p008_0033d68a_img3_542e7efebf_883abb502cef.jpg;85
0-16_p009_67e0ca1b;0-16_p009_67e0ca1b_img1_913f395c26_9af1980cf585.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p009_67e0ca1b_img1_913f395c26_9af1980cf585.jpg;86
0-16_p010_1a66044c;0-16_p010_1a66044c_img1_a17e2cc683_40d56a10516a.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p010_1a66044c_img1_a17e2cc683_40d56a10516a.jpg;87
0-16_p010_1a66044c;0-16_p010_1a66044c_img3_02a1d8a9ab_a29ff51e1db1.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p010_1a66044c_img3_02a1d8a9ab_a29ff51e1db1.jpg;87
0-16_p011_ba9f2252;0-16_p011_ba9f2252_img1_91b559cb5e_2e89e23b8336.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p011_ba9f2252_img1_91b559cb5e_2e89e23b8336.jpg;88
0-16_p012_54866ff3;0-16_p012_54866ff3_img3_9af597479d_8ac12b243c8d.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p012_54866ff3_img3_9af597479d_8ac12b243c8d.jpg;89
0-16_p014_9c48a41b;0-16_p014_9c48a41b_img3_619ac22d63_c491b6fd182e.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-16_p014_9c48a41b_img3_619ac22d63_c491b6fd182e.jpg;90
0-19_p005_bc5c1fc3;0-19_p005_bc5c1fc3_img1_c10e0cf78e_db7b68d19a42.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-19_p005_bc5c1fc3_img1_c10e0cf78e_db7b68d19a42.jpg;135
0-19_p020_651730f0;0-19_p020_651730f0_img1_4d75a69317_a51116dfc152.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-19_p020_651730f0_img1_4d75a69317_a51116dfc152.jpg;139
0-19_p023_faae9bc7;0-19_p023_faae9bc7_img1_7b9527b60e_53ae5ce7eea0.jpg;C:/Users/Utilisateur/Desktop/IRONHACK_DA/COURSES/FINAL_PROJECT/final_project_looted_artefacts/figures/web_photos/0-19_p023_faae9bc7_img1_7b9527b60e_53ae5ce7eea0.jpg;140
