id,Title,Repatriated?,Year Returned,Sending Country,Receiving Country,Object Materials,Country of Origin,Description of Object(s),Object Type,Culture,Size,Findspot,Date Looted,Current Location,Dealer,Year Acquired,Museum Name
2153,Alabaster Ram,Yes,2023,USA,Yemen,Alabaster | Silver,Yemen,"A 5th century BCE alabaster ram with an inscribed base 
An alabaster funerary marker dating to the 2nd century B.C.E. depicting a female deity
A silver vessel with inscription dating to 200-300 C.E. ","Funerary Object – coffins, mummy portraits, grave goods",Qatabanian,2,"Hayd bin Aqil necropolis, Shabwa, Yemen",1994,Possibly the National Museum of Yemen,Robin Symes,,
2154,Shelby White Collection,Yes,2023,USA,Italy | Greece | Türkiye,Various,Italy | Türkiye | Greece,2008 Seizure<br />2 returned to Greece<br />8 returned to Italy<br /><br />2023 Seizure<br />28 returned to Greece<br />32 returned to Italy<br />3 returned to Yemen<br />1 returned to Lebanon<br />1 returned to Iraq<br />2 returned to Iran<br />1 returned to Egypt<br />2 returned to China<br />5 returned to Afghanistan<br />14 returned to Turkiye,Various,Various,,Various,Various,Various ,Various,Various,Metropolitan Museum of Art
2155,The Acoma Shield,Yes,2019,France,USA | Indigenous or sovereign nation/tribe,Various,USA | Indigenous or sovereign nation/tribe,A decorated hide shield with feathers featuring the face of a Kachina.,"Religious Work – crucifixes, shrine objects, icons, religious texts",The Pueblo of Acoma,3,"Sky City Village, The Pueblo of Acoma",1970s,"Sky City Village, Acoma Pueblo, New Mexico",,,
2158,"Nagaraja, the Serpent King",Yes,2020,Australia,India,Sandstone,India,"A red sandstone Nagaraja, 82.5 x 40.5 x 19.9 cm, with a serpent Naga behind the anthropomorphic figure that is missing all or most of its arms.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Imperial Rajput Period,2,Rajasthan or Madhya Pradesh,1999 or earlier,,Subhash Kapoor,2006,National Gallery of Australia
2159,Saudi Aramco Returns,Yes,Between 1980 and 2019,USA | UK | France | Canada,Saudi Arabia,Various,Saudi Arabia,"<p>The Antiquities Homecoming Project has returned a range of objects including stone tools such as arrowheads, blades, axe heads, and grinding stones; pottery fragments and clay vessels, including a 4th-millennium BCE bevel-rim bowl; inscribed stones such as a Taymanitic block and a Greek-inscribed stele; coins and Babylonian stamp seals; Roman-era glass bracelets; figurines; and carved petroglyph fragments.</p>",Various,Prehistoric/neolithic | Mesopotamian | Pre-Islamic Arabia | Babylonian | Greco-Roman | Nabataean ,,,1950s-1960s,National Museum in Riyadh and other regional museums in Saudi Arabia,,since the 1960s,Harvard Semitic Museum
2161,Black Swan Hoard,Yes,2012,USA,Spain,Gold | Silver,Peru,17 tons of ancient silver and gold coins,"Currency – coins, weights, exchange goods",Spanish,1,"off Cape Santa Maria, Algarve, Portugal",2007,National Museum of Subaquatic Archaeology in Cartagena (Murcia),,,
2162,Benin Bronze Cockerel,Yes,2021,UK,Nigeria,Bronze,Nigeria,"A statue of male chicken cast using a lost wax process, modelled with comb, tail and spurs, and incised patterns representing feathers, mounted on a large square base which was often decorated with a guilloche pattern.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Kingdom of Benin ,2,Kingdom of Benin ,1897,"National Commission for Museums and Monuments (NCMM), also known as the National Museum of Nigeria, Abuja, Nigeria",,,
2163,Capt. Herbert Walker Returns to Benin,Yes,2014 | 2019,UK,Nigeria,Bronze | Wood,Nigeria,"A so-called ""bird of prophecy"", known as an Oro bird; a bell used to invoke ancestors; two ""Itsekiri"" wooden ceremonial paddles.","Sculpture – statues, carvings, bronzes, reliefs, figurines | Religious Work – crucifixes, shrine objects, icons, religious texts",Benin Kingdom,1 | 3,"Royal Palace, Benin Kingdom",1897,National Museum of Nigeria,,2019,Pitt Rivers Museum
2169,Salerno Seizures,Yes,2018,Italy,Egypt,Various,Egypt,"21,660 ancient metal coins were found, in addition to 195 small pieces—funerary masks, amphorae, wooden sculptures, bronzes, Oshabti statuettes, and a sarcophagus lid.","Currency – coins, weights, exchange goods | Sculpture – statues, carvings, bronzes, reliefs, figurines | Funerary Object – coffins, mummy portraits, grave goods | Vessel – pots, amphorae, vases, kraters",Egyptian ,1 | 2 | 3,El Miniya,,The Egyptian Museum in Cairo,,,
2174,Demeter and Persephone,Yes,2007,USA,Italy,Marble,Italy,Two marble heads and associated hands and feet representing the Greek gods Kore and Demeter.,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,3,"Morgantina, Sicily",1979,"Archaeological museum of Morgantina, Sicily",Robin Symes,Between 1979-1988 (Getty Museum) | 2002 (Fralin Museum of Art at UVA),J. Paul Getty Museum | The Fralin Museum of Art at the University of Virginia
2175,Don Miller Collection,Yes,"2016 (MHA Nation, North Dakota, United States) | 2018 (Colombia) | 2018 (Canada) | 2019 (China) | 2019 (Mexico) | 2020 (Haiti) | 2020 (Papua New Guinea) | 2022 (Peru) | 2022 (Pokagon Band Potawatomi, Indiana and Michigan, United States) | 2022 (Olgala Sioux Nation, South Dakota, United States) | 2022 (Dominican Republic)",USA,Haiti | Papua New Guinea | Mexico | China | Indigenous or sovereign nation/tribe,Various,,"The collection contained about 42,000 items, including Native American artifacts, human remains, and objects from South America, Asia, the Caribbean, and the Pacific. Seized material included roughly 7,000 items, specific examples include 2,500-year-old Chinese jewelry, a dugout canoe from the Amazon, dinosaur eggs, a fossilized crocodile skull, Ming Dynasty vases, shrunken heads, Aztec figurines, and Celtic axes.<br /><br />A significant portion of the collection consisted of human remains taken from Indigenous burial sites across the United States and Mexico. Thousands of bones were recovered, but osteological analysis revealed that Miller had often combined pieces from different individuals (e.g., skulls, mandibles, and teeth) into composite displays described as “Frankenstein-like” that he would show to guests invited to his private collection. This staging inflated earlier estimates of 500 skeletons; later assessment suggested a more accurate total of about 168 individuals.",Various,various,,various,various,,,,
2178,Néstor Janeir Collection,Yes,2016,Argentina,Peru | Ecuador,Ceramic | Other,Peru | Ecuador,"More than 3,000 items belonging to Peru and 439 to Ecuador, made of ceramic, shell, bone, etc.",Various,"Mochica, Chavín, Cupisnique, Chancay and Inca cultures",2,Various,,"Lima, Peru and Quito, Ecuador",Néstor Janeir Aude | Carlos Languasco | Carlos Osona | Enrique Álvarez | José Arias,,
2179,Leonardo Patterson Collection,Yes,2006 (273 objects retuned to Peru) | 2015 (Two Olmec heads were returned to Mexico),Germany,Mexico | Peru,Various,Mexico | Peru | Guatemala | Costa Rica | Colombia | Ecuador,"More than a thousand Pre-Colombian antiquities, including terra-cotta, basalt stone and limestone busts; terra-cotta kettles and urns; obsidian and stone projectile tips and knives; braziers and incense burners; obsidian ornaments; stone seals; incense holders; cases; and necklaces and strings.",Various,Various Pre-Colombian,1 | 2,Various,Various,Mexican National Museum of Anthropology (the two wooden Olmec figurine heads) | Possibly the National Museum of Peruvian Culture,Leonardo Patterson,,
2185,Aydin Dikmen Collection,Yes,2014,Germany,Cyprus,Various,Cyprus,207 Cypriot antiquities,"Visual Work – paintings, frescos, mosaics | Religious Work – crucifixes, shrine objects, icons, religious texts",Byzantine ,1 | 2,North Cyprus,after 1974,"Some of the mosaics reside in the Kanakaria Church, other items were returned to the Archbishop Makarios III Museum, Nicosia, Cyprus",Aydin Dikmen | Michel van Rijn | Serafim Dritsoulas,,
2186,Lysi Frescoes ,Yes,2012,USA,Cyprus,Lime Plaster | Paint,Cyprus,A set of 13th-century Byzantine frescoes plundered after Türkiye invaded Cyprus and displayed in Houston for 15 years before their return to Cyprus.,"Visual Work – paintings, frescos, mosaics",Byzantine,5,"Lysi, Cyprus",1974,"Byzantine Museum, Nicosia, Cyprus",Aydin Dikmen | Michel van Rijn,1984,Menil Collection 
2187,Antiphonitis Icons ,Yes,2013,Netherlands,Cyprus,Various,Cyprus,"Four Byzantine icons depicting Apostles Peter, Paul, John and Mark","Visual Work – paintings, frescos, mosaics",Byzantine,3,"Church of Christ Antiphonitis, Krenia District, Cyprus",1975,"Archbishopric, Nicosia, Cyprus. Possibly Antiphonitis Church",Edouard Dergazarian | Michel van Rijn,,
2188,The Savior on the Throne,Yes,2022,Switzerland,Cyprus,Gold Leaf,Cyprus,"16th-century icon of the Savior on the Throne, stolen from the Church of Christ Antiphonitis in the village of Kalograia","Visual Work – paintings, frescos, mosaics",Byzantine,3,"Church of Christ Antiphonitis in the village of Kalograia (Kyrenia district, Northern Cyprus)",1975,Possibly the Archbishopric Palace of the Holy Archdiocese of Cyprus in Nicosia,Aydin Dikmen,,
2191,Portrait of the Emperor Caracalla as a Youth,Yes,2023,USA,Türkiye,Bronze,Türkiye,A bronze portrait head of the emperor Caracalla as a youth. It is approximately 11.5 inches tall and has a uniform patina.,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,3,Bubon,1967,"Antalya Museum, Antalya,  Türkiye  ",Robert Hecht,2007,"Fordham Museum of Greek, Etruscan and Roman Art"
2192,The Emperor's Daughter,Yes,2023,USA,Türkiye,Bronze,Türkiye,A bronze bust showing the head and upper body of a royal woman. It is approximately 21 inches tall. ,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,3,Bubon,1967,Antalya Museum,Robert Hecht,1966,Worcester Art Museum
2193,Bubon Portrait Head,Yes,2023,USA,Türkiye,Bronze,Türkiye,"A patinated bronze bust of a bearded man, partially complete, showing details of the hair and beard. Its dimensions are approximately 29.2 x 21.6 x 21.6 cm","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,2,Bubon,circa 1967,Antalya Museum,Robert Hecht | Matthias Komor,1971,Santa Barbara Museum of Art
2194,Lucius Verus,Yes,2023,USA,Türkiye,Bronze,Türkiye,"A nearly complete bronze statue of Lucius Veres, missing its right arm. It is 74.5 inches tall. ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,4,Bubon,1967,Antalya Museum,Charles Lipson,1974 (Indianapolis Museum of Art loan) | 1996 (Harvard University Art Museum loan) | 1985 (Metropolitan Museum of Art loan),Indianapolis Museum of Art | Harvard University Art Museum | Metropolitan Museum of Art
2197,Sarcophagus of Ankhenmaat,Yes,2022,USA,Egypt,Wood,Egypt,"A 9.5ft long wooden mummiform sarcophagus lid once belonging to the priest Ankhenmaat. It is painted mostly black, but the  face on the lid is painted green. Lines of heiroglyphics decorate the lower half, with indications of water or insect damage. ","Funerary Object – coffins, mummy portraits, grave goods",Late Dynastic Period Egyptian,5,"Abusir al-Malaq, Egypt",2008 or before,"Cairo, Egypt",Serop Simonian (Switzerland),2013 (Houston Museum of Natural Sciences) | 2008 (Michael C. Carlos Museum),Houston Museum of Natural Sciences | Michael C. Carlos Museum (Emory University)
2200,Robert Olson Collection,Yes,2017,USA,Thailand,Ceramic | Bronze | Marble,Thailand,Ban Chiang pottery and jewelry ,"Vessel – pots, amphorae, vases, kraters | Jewelry – bracelets, rings, personal decoration",Ban Chiang | Various,1 | 2,"Ban Chiang, Thailand  | Various","After 1957, when Ban Chiang was discovered","Ban Chiang Museum, Thailand | National Museum, Bangkok",Robert Olson,2008 or before,Los Angeles County Museum of Art | Mingei Museum  | Pacific Asia Museum  | Bowers Museum  | UC Berkeley Art Museum | MacLean Asian Art Museum 
2201,Subhash Kapoor Collection ,Yes,Various,USA,India | Cambodia | Pakistan | Nepal | Thailand | China,Various,India | Thailand | Cambodia | Pakistan | Afghanistan | Nepal | China,"#            Value                    Country of origin     

2315	$42,168,500	India
201	$34,140,000	Pakistan, Afghanistan, Kashmir
33	        $8,700,000	Cambodia /Thailand
19	        $716,000	        Nepal/Tibet
7	        $160,000	        China",Various,Various (many items are Chola Period bronzes from Tamil Nadu),,Various (many items are thefts from known temples),various,Various,Subhash Kapoor,,
2206,Returns by Decade,,,,,,,,,,,,,,,,
2207,Cases by Returning Country,,,,,,,,,,,,,,,,
2208,Cases by Returner,,,,,,,,,,,,,,,,
2209,Cases by Receiver,,,,,,,,,,,,,,,,
2211,Market Size,,,,,,,,,,,,,,,,
2212,Cambodian Iron Age Jewelry with Human Remains,Yes,2011,Australia,Cambodia,Bronze | Human Remains,Cambodia,"A variety of bronze bangles, bracelets, earrings and finger rings, corroded green and, in some instances, fused together. Many of the artifacts contained soil and fragmented human remains from both adults and children.","Jewelry – bracelets, rings, personal decoration | Human Remains – skeletons, mummies",Iron Age Cambodia,1,Cemeteries most likely in northwest Cambodia,2010 or earlier,"National Museum of Cambodia, Phnom Penh",Frank Bottaro,,
2225,Ball State Shiva and Parvati,Yes,2015,USA,India,Bronze,India,A Chola Period Festival Bronze of Shiva and Parvati ,,"Chola Period, circa 860 - 1279 C.E.",3,"Possibly the Sivan temple located at Deepambalpuram, Tamil Nadu. ",Possibly 2004,,Subhash Kapoor,2005,David Owsley Museum of Art
2226,Figure from Ancestral Altar Dedicated to Oba Ovonramwen,Yes,2014,USA,Nigeria,Bronze,Nigeria,"Figure from ancestral altar dedicated to Oba Ovonramwen, from the Kingdom of Benin. 
Dimensions: 21 in (53.3 cm). ",Sculpture,Nigerian,2,"Benin City, Nigeria",1976,Nigeria ,,2014 (not accessioned),Boston Museum of Fine Arts
2230,Gold Funerary Wreath,Yes,2006,USA,Greece,Gold | Glass,Greece,"Funerary wreath from approximately 400 BCE, composed of solid gold foliage with blue and green glass inlays; similar to those found in ancient Macedonia.
",Funerary Object,Greek,2,"Near Serres, northern Greece",1990,,Christoph Leon ,1993,J. Paul Getty Museum
2232,Guardian from the Five Dynasties Tomb,Yes,2001,USA,China,Marble,China,"A complete marble wall panel, possibly depicting the Tang-Liang Dynasty military governor Wang Chuzhi himself.  It shows an approximately life-size adult male figure in full regalia, with traces of pigment. It is one of several that lined Wang Chuzhi's tomb. In total, 10 relief sculptures and wall paintings were taken.  
","Funerary Object – coffins, mummy portraits, grave goods | Architecture – antefixes, doors, sconces, friezes",Chinese,4,"c. 10th century tomb of Wang Chuzhi in western Xiyanchuan Village, Hebei Provence",1994,"National Museum of China, Beijing",Man Kim,,
2233,Head of Alexander,Yes,2019,USA,Italy,Marble,Italy,Fragmented marble sculpture depicting Alexander as the god Helios; probably dates to 300 BCE.,Sculpture,Greek,2,"Basilica Emilia, northern portion of the Roman Forum on the Via Sacra.",after 1909,,Alan Safani,,
2234,Teotihuacán Murals,Yes,1986,USA,Mexico,Lime Plaster | Volcanic Rock,Mexico,"70 Aztec mural pieces, ranging from a few inches to 14ft in length. The murals are 3-5 inches thick, and are made from volcanic rock that was covered with a thick layer of lime, in order to paint the fresco images on top. Iconography on the murals include priest-deities, warriors, birds, feathered serpents, and other animalistic deities. ","Architecture – antefixes, doors, sconces, friezes",Aztec,3,Teotihuacán (underground chamber near the Pyramid of the Sun),Early 1960s ,Teotihuacán,,1978,M.H. de Young Memorial Museum (Fine Arts Museums of San Francisco)
2235,Gold Coffin of Nedjemankh ,Yes,2019,USA,Egypt,Wood | Gold Leaf | Silver | Other,Egypt,"The coffin of Nedjemankh dates to the 1st century BCE, and belonged to the Priest of the Ram-God, Heryshef of Herakleopolis Magna. The surface is covered entirely in a thin layer of gold leaf, and common Egyptian motifs including Book Of The Dead spells, thin silver on the inside of the lid, an Osirian djed pillar, and common axially spiritual features of Egyptian life.  The eyes are inlaid with a lapis-lazuli resin.",Funerary Object,Egyptian,5,"Herakleopolis, Egypt",2011,"National Museum of Egyptian Civilization, Egypt",Richard Semper | Christophe Kunicki | Serop Simonian | Simon Simonian,2017,Metropolitan Museum of Art
2236,Angkorian Deified King,Yes,2023,USA,Thailand,Copper,Thailand,Standing male figure of gilt-copper alloy and inlaid with silver,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Angkorian or Khmer Empire,3,"Ban Yang Pong Sadao, Lahan Sai district, Buriram province, Thailand",circa 1975,"National Museum, Bangkok",Douglas Latchford,1988,Metropolitan Museum of Art
2240,Torso of Rama,Yes,2016,USA,Cambodia,Sandstone,Cambodia,"The Torso of Rama is a monumental sandstone sculpture of Rama
with a quiver behind his right shoulder. The piece dates to the early
10th century, and stands 62 inches high and is missing its head, arms
and feet.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Khmer,4,"Prasat Chen Temple, Koh Ker, Cambodia",1970s,,Douglas Latchford,1986,Denver Art Museum
2241,Goddess of Transcendent Wisdom,Yes,2022,USA,Cambodia,Bronze | Sandstone,Cambodia | Vietnam,"<p>Goddess of Transcendent Wisdom (Prajnaparamita): <br />Standing figure sculpture made from sandstone, of the Goddess of Transcendent Wisdom (Prajnaparamita), dated to 1150–1200 during the Bayon period in Cambodia.</p>
<p>Sun God (Surya):<br />Standing figure sculpted from sandstone representing the Sun God (Surya), dated to the 600s–700s, from the Pre-Angkor period, originating from Cambodia or Vietnam.</p>
<p>Lintel with the Sleep of Vishnu and the Birth of Brahm:<br />Sandstone sculpture, dated to the late 7<sup>th</sup> century, from Cambodia’s Pre-Angkor period. </p>
<p>Bell:<br />Bronze bell from Cambodia, dated to the 1st century BCE, Iron Age.</p>","Sculpture – statues, carvings, bronzes, reliefs, figurines",Khmer,4,"Various locations in Cambodia, and one possibly from Vietnam",approx. 1970s,,Douglas Latchford | Emma Bunker,2000 | 2004 | 2005,Denver Art Museum
2242,El Zotz Lintel 1,Yes,1998,USA,Guatemala,Wood,Guatemala,Carved wood lintel depicting ruler with hieroglyphic text,"Monument – obelisks, stelae, tombstones, totem poles | Architecture – antefixes, doors, sconces, friezes",Maya,5,"Structure M7-1, El Zotz, Guatemala",1966-1968,"Museo Nacional de Arqueología y Etnología, Guatemala City, Guatemala",Edward H. Merrin,1973,Denver Art Museum
2246,Lalibela Cross,Yes,1999,Belgium,Ethiopia,Brass,Ethiopia,"One of Ethiopia s most precious valuables, the Afro Ayigeba is a richly decorated metal cross some sixty centimeter long. ","Religious Work – crucifixes, shrine objects, icons, religious texts",Orthodox Ethiopian Christianity,3,"Lalibela, Ethiopia",9 March 1997,"Church of Bete Medhane Alem in Lalibela Amhara Region, Ethiopia",Unnamed,1999,
2248,Dancing Krishna,Yes,2024,Thailand,India,Bronze,India,"DANCING KRISHNA South India, Tamil Nadu Chola Period, 12th century Bronze 
Height: 16 ¾ inches (42.6 cm) ","Sculpture – statues, carvings, bronzes, reliefs, figurines",Chola,2,,before 2005,India,Subhash Kapoor,2006,
2254,The Kahlúa Figurines,Yes,2022,Sweden,Mexico,Ceramic | Paint,Mexico,"The two ceramic figures belong to the pre-Colombian Shaft Tomb cultures, dating to 300 BC - 600 AD. The larger figure is a sitting helmeted individual with a raised hand. This piece is likely from Colima. The smaller figure is a kneeling female figure with a white face. This piece is likely from Nayarit and of the Chinesco Style.","Sculpture – statues, carvings, bronzes, reliefs, figurines","West Mexican Shaft Tomb Cultures (Larger Figure: Colima, Smaller Figure: Nayarit (Chinesco)",2,"Nayarit and Colima, Mexico",Pre-1965. (First appearance of figure in advertisement is in 1965),"Instituto Nacional de Antropología e Historia (Mexico City, Mexico).",,,
2255,Lewke's Cannon,Yes,2023,Netherlands,Sri Lanka,Bronze | Copper | Gold | Silver | Wood | Various | Gemstones/Precious Stones,Sri Lanka,"A small bronze cannon, ornamented with silver, gold, and gemstones. It bears a shield with symbols associated with the Kandyan kings, and a Sinhala inscription that records the name of the noble who had it made. The cannon is mounted on a painted wooden carriage, also decorated with flowers, animals, etc.","Equipment – weapons, helmets, tools, musical instruments","Kandyan, with European influences",4,"Kandy, Sri Lanka",1765,"Colombo National Museum, Colombo, Sri Lanka",,1927,"Rijksmuseum, Amsterdam"
2321,Stanley Museum Benin Bronzes,Yes,2024,USA,Nigeria,Wood | Bronze,Nigeria,"Wooden Hen Figure: dimensions 19 x 8 x 11 in. (48.26 x 20.32 x 27.94 cm). Description per Christopher Roy: Hen carved from one piece of wood; dark brown surface coloration. There is an iron nail at the outer side of the PL foot. Inscribed on the reverse: “Benin. WBSTR:1899”. Bottom is inscribed: Benin. W. Africa. WBSTR 1899. CMS316 is applied in red ink on both the side and the bottom…The post which projects from the back of the hen once supported a small elephant's tusk (Fagg 1968: no.150). The geometric patterns carved into the surface of the figure represent the bird's feathers. ""The design on the base is a kind of trademark of the carver's guild (""igbesanmwan"") and is called ""oba n'iri agbon"", the pattern of the rope of the world. It symbolizes infinity/endless wisdom of the ancestors"" (Ben-Amos 1978). The significance of the forms which sweep downward from the post, on either side of the body, has been the subject of some speculation (Pitt-Rivers 1900:84), although they appear to represent the bird's wings held in the mating gesture with tips brushing the ground… The hen's crest has been broken off, probably at the time the piece was removed from Benin. 

Bronze Relief Plaque: Dimensions 11 1/2 x 9 3/4 x 3/4 in. (29.21 x 24.77 x 1.91 cm). The brass plaque (called ama in Edo language) depicts a high-ranking officer from the Benin Court. Shown in relief before the schematic rendering of flora, he wears a woven cap, a beaded sash over the shoulder, a leopard-face pendant on the hip and a ceremonial sword (eben) in one hand. Condition reports indicate significant damage to the plaque, including a large, approximately 2.5-inch hole between the sword and the bicep along the forearm of the figure and a crack from the armpit to the bottom of the thigh on the right side.","Sculpture – statues, carvings, bronzes, reliefs, figurines | Religious Work – crucifixes, shrine objects, icons, religious texts | Fragment",Beninese (Edo People),2,Benin Royal Palace of Oba Ovonranwmen,1897,Royal Palace of the Oba of Benin,William Downing Webster,Wooden Hen: 1986 | Bronze Relief Plaque: 2001,University of Iowa Stanley Museum of Art
2373,Magdala Shield,Yes,2024,USA,Ethiopia,Wood,Ethiopia,"Hide shield with silver panels and rivets and the inscription ""Magdala 13th April 1868"" around the central  boss","Equipment – weapons, helmets, tools, musical instruments",Ethiopian highland culture,3,"Magdala, Central Ethiopia",13th April 1868,National Museum of Ethiopia,,,Toledo Museum of Art (loan)
2375,The Cleveland Bronze,Yes,2025,USA,Türkiye,Bronze,Türkiye,"The life-sized bronze statue, dating to the Roman Imperial period, depicts a toga-clad male figure in a poised, authoritative stance. The figure is headless, with finely detailed drapery and Roman sandals, and it is believed to be Marcus Aurelius. 

","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,4,Bubon,1952 - 1967,,Robert Hecht | Charles S. Lipson | Edward H. Merrin,1986,Cleveland Museum of Art
2376,Bronze Head of a Griffin,Yes,2025,USA,Greece,Bronze,Greece,"Cast-bronze head of a griffin with an open mouth dated to the third quarter of the 7th century BCE, measuring H. 10 3/16 in. (25.8 cm). Potentially part of the decoration of a bronze cauldron rim used as a votive gift in Greek sanctuaries.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Greek,2,"It was originally discovered in a riverbed of the Kladeos River in Olympia, in the Peloponnese region of Greece, in 1914 by the supervisor of the Archaeological Museum of Olympia.",Between 1914 and 1938,Greece,Theodore Zoumpoulakis | Joseph Brummer,1972,Metropolitan Museum of Art
2382,Proto-Corinthian Oinochoe,Yes,2024,Germany,Greece,Clay,Greece,"Jug with a large, flat bottom and a round body. A short neck leads to a trefoil mouth. The handle is missing. The clay is of a light beige colour. Traces of decoration are discernable on the shoulder.","Vessel – pots, amphorae, vases, kraters",Greek,2,"Southern end of the Korinth Canal, on the steep coast of the Saronic Gulf",1943,Greece,,1986,Museum August Kestner
2410,Wabanaki Ancestral Remains,Yes,2024,USA,USA | Indigenous or sovereign nation/tribe,Stone | Human Remains,USA | Indigenous or sovereign nation/tribe,"The remains of one person and grave goods, including red ochre, a plummet, four gouges, and two spearheads.","Human Remains – skeletons, mummies | Funerary Object – coffins, mummy portraits, grave goods",Wabanaki Nations,1 | 2 | 3,"Hancock, Knox, and Penobscot Counties, Maine: Burial items
Deer Isle, Hancock County, Maine: Human remains","1915: Burial items
1948 - 1952: Human remains",,,"1926: Burial items
1969: Human remains
","Peabody Museum of Natural History, Yale University"
2524,The Magdalene Tiberius,Yes,2017,USA,Italy,Marble,Italy,A portrait head of Tiberius with a break along the bottom of the neck.,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,2,"Sessa Aurunca, Campania, Italy",1944,,Jerome Eisenberg,,
2530,Head of a King (Oba),Yes,2022,USA,Nigeria,Bronze,Nigeria,"A bronze head (dimensions 26.7 x 19.7 x 21.6 cm)  representing an oba, or king, of the Edo people of Benin, West Africa.

Per Ugochukwu-Smooth C. Nzewi: Cast in bronze, the crown mirrors the coral-bead headdress worn by the oba (king). The actual beaded crown consists of tiny red beads stitched together with brown vegetable fiber. The beads carry the essence of the office of oba. A single cowrie shell sits on the forehead, flanked by three scarification patterns called ikharo above each amplified eye. The tubular bead-collar covers the neck and chin, extending all the way to the lower lip. With its remarkably stylized features, the crowned head is a portrait of elegant symmetry and dignified comportment. The absence of a flange at the base suggests that it is an eighteenth-century-style commemorative head.","Sculpture – statues, carvings, bronzes, reliefs, figurines | Religious Work – crucifixes, shrine objects, icons, religious texts",Beninese (Edo People),2,Benin Royal Palace of Oba Ovonranwmen,1897,Nigeria,,1939,Rhode Island School of Design Museum (RISD)
2802,Mayan Jaguar Head,Yes,1999,USA,Guatemala,Stone,Guatemala,Stone head of a jaguar devouring a man,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Mayan,3,Guatemalan Highlands,,"Museo Nacional de Arqueología y Etnología, Guatemala City",,,
2850,Etruscan Tripod,Yes,1996,USA,Italy,Bronze,Italy,"The bronze tripod is composed of alternating straight and curved rods.  Three sets of figural pairs—Herakles and Deianeira, two cloaked male figures, and two satyrs—sit atop the straight rods. The curved rods are topped with pairs of animals.  The tripod's feet are in the form of a lion's paw resting on a frog.
","Equipment – weapons, helmets, tools, musical instruments",Etruscan,3,Vulci,circa 1987,Italy ,Robert Hecht | Jonathan Rosen,1990,J. Paul Getty Museum
2851,Leonard Stern Collection of Cycladic Antiquities,Yes,2024,USA,Greece,Marble,Greece,161 marble figures and stone vessels from the Early Bronze Age (3200BCE-2000BCE),"Sculpture – statues, carvings, bronzes, reliefs, figurines",Cycladic,2,Keros | Koufonisia,,Metropolitan Museum of Art,JJ Klejman  | Gianfranco Becchina | Robin Symes | Merrin Gallery | Robert Haber | Harry Bürki | Michael Ward,2024,Metropolitan Museum of Art
2856,Gold Kasthane,Yes,2023,Netherlands,Sri Lanka,Gold | Metal | Wood | Gemstones/Precious Stones,Sri Lanka,"A highly ornamented gold kasthane (ceremonial sabre), with a gold hilt shaped with lion heads and deities, set with diamonds and rubies. The scabbard is wood covered with gold. ","Equipment – weapons, helmets, tools, musical instruments",Kandyan,3,Kandy,1765,"Colombo National Museum, Colombo, Sri Lanka",,1927,Rijksmuseum (Amsterdam)
3125,Etruscan Bronze Lar,Yes,2018,UK,Italy,Bronze,Italy,Bronze lar statuette of a stepping male figure with a draped robe over one side of its body. ,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Etruscan,2,,1988,Museo Archeologico Nazionale di Siena,,,
