id,Title,Repatriated?,Year Returned,Sending Country,Receiving Country,Object Materials,Country of Origin,Description of Object(s),Object Type,Culture,Size,Findspot,Date Looted,Current Location,Dealer,Year Acquired,Museum Name
990,The Birth of Brahma ,Yes,1988,USA,Thailand,Stone,Thailand,12th century lintel formerly adorning east gateway of the Khmer temple of Khao Phnomrung near the town of Buriram. Depicts the birth of Brahma with reclining Vishnu on a makara (a legendary sea-creature of Hindu mythology).,"Architecture – antefixes, doors, sconces, friezes",Khmer,3,Khao Phanomrung near the town of Buriram,pre 1966,,unnamed New York based dealer,1967,Art Institute of Chicago
991,The Jiroft Collection,Yes,2011,UK,Iran,Chlorite,Iran,"Seven vases, four cups, three weights, two jars, a bowl and a vessel, all carved from chlorite.",Various,Jiroft Civilization,2,"Jiroft, Iran",2001,Possibly the National Museum of Iran in Tehran,Fayez Barakat,2002-2005,
992,Apulian Amphora Showing the Murder of Atreus,Yes,2006,USA,Italy,Terracotta,Italy,"Red figure terracotta amphora depicting the killing of Atreus
height 88.3 cm (34 3/4 in.); body diameter 38.8 cm (15 1/4 in.)

Front: Murder of Atreus, King of Mycenae
Back: Dionysos and his retinue
Front, on the neck: Head of the goddess Io emerging from a vine

The scene on the front shows the murdered Atreus, king of Mycenae sprawled across his throne.  The murderers, Atreus' brother Thyestes and Thyestes' son Aigisthos are on the left. On the far left, Thyestes' daughter Pelopeia raises her eyes  is dismay, while on the right are Poine, the goddess of retribution, and the palace maids.","Vessel – pots, amphorae, vases, kraters",Greek,2,"Apulia, Italy",1991 or earlier,Museo Archeologico Nazionale di Taranto,Giacomo Medici | Robert Hecht | Jonathan Rosen | Fritz and Harry Bürki,1991,"Museum of Fine Arts, Boston"
995,Statue of Sabina ,Yes,2006,USA,Italy,Marble,Italy,"Portrait statue of Sabina, wife of Emperor Hadrian.
Dimensions: h 2.04 m ",Sculpture,Roman,4,"possibly Hadrian’s villa, Tivoli, Italy",Unknown,,Robert Hecht | Fritz Burki | Nikolas Koutoulakis | Giacomo Medici | Fuat Uzumel,1979,"Museum of Fine Arts, Boston"
998,Memorial Screen (Duen Fubara),Yes,2014,USA,Nigeria,Various | Wood,Nigeria,A memorial screen consisting of wood figures composed of separately-attached arms and legs - an object type commissioned by trading families to memorialize a family elder. ,Sculpture,Nigerian,2,"Buguma, Nigeria.",1990,,Charles Davis,1996 | 2014,"Museum of Fine Arts, Boston"
999,Nok Male Figure,Yes,2014,USA,Nigeria,Terracotta,Nigeria,Male Figure ,"Sculpture – statues, carvings, bronzes, reliefs, figurines",Nok,2,,,,"Charles Jones (Wilmington, NC) | Kofi Hassan (Kafanchan, Nigeria)",2014,"Museum of Fine Arts, Boston"
1001,Antimenes Hydria,Yes,2006,USA,Italy,Ceramic,Italy,"The pot stands 46 cm high (18 1/8 in.) and is crafted in ceramic using the Black-Figure technique. The main panel depicts four barbarian horsemen riding to the right—three on black horses and one on a white. Dressed in pointed caps, long-sleeved tunics, and patterned trousers, the riders are likely Scythians, identified by their distinctive attire.

Beneath the main scene, a frieze of animals unfolds, centered around a dramatic group of two lions attacking a prey. On the shoulder of the vessel, a departure scene shows a warrior mounting a chariot, observed by five other figures, possibly family members or companions.","Vessel – pots, amphorae, vases, kraters",Greek,2,,1970s,Italy,Gianfranco Becchina (Basel) | Bruce and Ingrid McAlpine (London),1979,Boston Museum of Fine Arts
1002,Benin Edo Head,Yes,2014,USA,Nigeria,Terracotta,Nigeria,"A terracotta stylised figure of a head with distinct hair style, traces of dark brown pigment and white and black pigment on the eyes. 
","Sculpture – statues, carvings, bronzes, reliefs, figurines","Benin Kingdom, Nigeria",2,"Said to have been collected from the family altar of brass casters living in Benin City, Nigeria, in January 1990",1990,,,1992,"Museum of Fine Arts, Boston"
1004,Weary Herakles (Top Half),Yes,2011,USA,Türkiye,Marble,Türkiye,"This Roman sculpture was modeled after an original 4th century B.C. bronze statue of Weary Herakles by the Greek master Lysippos of Sikyon. The version is identified as the ""Herakles Farnese"" type of sculpture on the basis of its similarity to a more complete copy in Naples. shows an aged Herakles holding the Apples of the Hesperides in his right hand, behind his back, and leaning on a club covered with the skin of the Nemean lion and a cloak, which he has placed under his left armpit. Herakles' hair is disheveled, his brow is knotted, and his eyes are sunken. The ""Herakles Farnese"" type was very popular in antiquity; many replicas and variants have been identified. This particular example was probably carved in the Hadrianic or Antonine period.

The statue is incomplete. Both arms have been broken off, the left at the elbow, the right higher up. The lower part of this statue, now in the Antalya Museum, was excavated in the South Baths at Perge.","Sculpture – statues, carvings, bronzes, reliefs, figurines",Roman,4,"Perge, Turkiye. Marble possibly from Paros or Aphrodisias",pre 1981,"Antalya Museum, Turkey",Mohammad Yeganeh (Frankfurt),1981,"Museum of Fine Arts, Boston"
1006,Keith Collection,Yes,2020,USA,Costa Rica,Various,Costa Rica,"Stone, ceramic and precious metal artifacts, some crafted to depict native animal life, used in indigenous rituals before Spanish colonization.",Various,"Pre-Colombian Diquis, Chorotega, and possibly Mayan cultures",1,Various,Late 1800s to early 1900s,"Museo Nacional de Costa Rica, San Jose",,1932,Brooklyn Museum
